Date,Open,High,Low,Close,Volume,Daily Returns,Volatility,MA20,Cumulative Returns,RSI,Drawdown,BB_Upper,BB_Lower
2026-04-14,259.25,261.93,257.19,258.83,"48,370,711",,,,,,,,
2026-04-15,258.16,266.56,257.81,266.43,"49,913,512",0.029362902291079074,,,0.029362902291079074,,0.0,,
2026-04-16,266.8,267.16,261.27,263.4,"43,323,113",-0.011372593176444235,,,0.01765637677239873,,-0.01137259317644422,,
2026-04-17,266.96,272.3,266.72,270.23,"61,436,230",0.025930144267274358,,,0.04404435343661883,,0.0,,
2026-04-20,270.33,274.28,270.29,273.05,"36,590,168",0.010435554897679777,,,0.054939535602519296,,0.0,,
2026-04-21,271.5,272.8,265.4,266.17,"50,209,762",-0.025196850393700787,,,0.02835838194954232,,-0.02519685039370089,,
2026-04-22,267.82,273.74,266.87,273.17,"43,249,199",0.026298981853702497,,,0.055403160375536276,,0.0,,
2026-04-23,275.05,275.77,271.65,273.43,"33,399,641",0.0009517882637184449,,,0.05640768071707303,,0.0,,
2026-04-24,272.76,273.06,269.65,271.06,"38,157,113",-0.008667666313133204,,,0.047251091449986404,,-0.008667666313133272,,
2026-04-27,266.09,268.36,265.07,267.61,"41,466,762",-0.01272780934110529,,,0.03392187922574652,,-0.021285155249972716,,
2026-04-28,272.34,273.23,268.66,270.71,"40,018,941",0.011584021523859178,,,0.04589885252868653,,-0.009947701422667876,,
2026-04-29,267.55,271.04,267.04,270.17,"30,047,869",-0.001994754534372478,,,0.04381254105011001,,-0.011922612734520856,,
2026-04-30,270.5,276.0,268.14,271.35,"91,848,234",0.004367620387163651,,,0.04837151798477746,,-0.007607065793804858,,
2026-05-01,278.86,287.22,278.37,280.14,"79,915,438",0.032393587617468134,,,0.08233203260827548,,0.0,,
2026-05-04,279.66,280.63,274.86,276.83,"46,668,398",-0.011815520811023106,,,0.06954371595255537,-inf,-0.011815520811023193,,
2026-05-05,276.93,284.57,276.5,284.18,"49,311,711",0.02655059061517906,,,0.09794073329984898,-inf,0.0,,
2026-05-06,281.92,288.03,281.07,287.51,"58,336,070",0.011717925258638795,,,0.11080632075107166,-inf,0.0,,
2026-05-07,289.27,292.13,285.78,287.44,"45,224,301",-0.0002434697923550111,,,0.11053587296681178,-inf,-0.00024346979235500117,,
2026-05-08,290.01,294.76,290.0,293.32,"52,692,762",0.020456443083773923,,,0.13325348684464644,-inf,0.0,,
2026-05-11,291.98,293.88,290.23,292.68,"42,247,289",-0.002181917359879937,,274.8855,0.13078082138855573,-inf,-0.0021819173598798505,294.2340497620555,255.53695023794447
2026-05-12,292.56,295.27,292.56,294.8,"45,748,129",0.007243405767391131,0.01640900197585765,276.684,0.1389715257118569,-inf,0.0,296.4316526519777,256.93634734802237
2026-05-13,293.5,300.92,293.5,298.87,"52,684,262",0.013805970149253666,0.01562593384790853,278.306,0.1546961325966847,-inf,0.0,299.76250621483774,256.8494937851622
2026-05-14,299.82,300.45,295.38,298.21,"35,324,922",-0.0022083179977917533,0.015222654926312805,280.04650000000004,0.15214619634509097,-inf,-0.0022083179977916917,302.0522717548447,258.0407282451554
